,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title,years_of_saving_for_26_35,years_of_saving_for_36_45,years_of_saving_for_46_55,years_of_saving_for_56_65
16247,Castellana,47.0,1,1.0,7,520000,1.0,1.0,1.0,1,"Lagasca, Castellana, Madrid",25.462590506838293,40.216010165184244,14.70724907063197,5.13465282284231
16248,Barrio de Salamanca,47.0,1,1.0,7,480000,1.0,1.0,1.0,1,"Castellana, Barrio de Salamanca, Madrid",23.531777956556716,37.16645489199492,13.592007434944238,4.745295262816353
16249,Guindalera,40.0,0,1.0,0,203000,1.0,0.0,1.0,0,"Estudio en venta en calle Ferrer del Río, Guindalera, Madrid",10.160901045856798,16.048284625158832,5.868959107806692,2.0489941596365995
16250,Guindalera,84.0,3,1.0,2,315000,1.0,1.0,0.0,0,"Berna, Guindalera, Madrid",15.567176186645213,24.587039390088947,8.991635687732343,3.1391953277092797
16251,Barrio de Salamanca,118.0,2,2.0,4,795000,1.0,1.0,0.0,0,"Goya, Barrio de Salamanca, Madrid",38.736926790024135,61.18170266836086,22.37453531598513,7.8114860480207655
16252,Barrio de Salamanca,168.0,5,3.0,0,470000,1.0,1.0,0.0,0,"Guindalera, Barrio de Salamanca, Madrid",23.049074818986323,36.404066073697585,13.313197026022305,4.647955872809864
16253,Goya,92.0,3,2.0,1,409000,1.0,1.0,0.0,0,"calle de Ayala, Goya, Madrid",20.10458567980692,31.753494282083864,11.612453531598513,4.054185593770279
16254,Goya,213.0,4,2.0,2,1300000,1.0,1.0,1.0,1,"calle de Don Ramón de la Cruz, Goya, Madrid",63.11343523732904,99.6823379923761,36.454460966542754,12.727125243348475
16255,Goya,44.0,2,1.0,5,399500,1.0,0.0,0.0,0,"calle de Alcántara, 23, Goya, Madrid",19.646017699115045,31.029224904701397,11.347583643122677,3.961713173264114
16256,Castellana,120.0,3,2.0,2,865000,1.0,1.0,0.0,0,"calle de Núñez de Balboa, 92, Castellana, Madrid",42.11584875301689,66.51842439644219,24.326208178438662,8.49286177806619
16257,Goya,134.0,4,4.0,1,750000,0.0,1.0,1.0,0,"calle Don Ramón de la Cruz, 96, Goya, Madrid",36.564762670957364,57.750952986022874,21.119888475836433,7.373458792991564
16258,Goya,143.0,4,2.0,6,595000,1.0,0.0,0.0,0,"calle de Alcalá, 189, Goya, Madrid",29.08286403861625,45.93392630241423,16.79832713754647,5.8646982478909795
16259,Castellana,120.0,3,2.0,3,950000,1.0,1.0,1.0,0,"calle de Serrano, Castellana, Madrid",46.21882542236524,72.9987293519695,26.69609665427509,9.32024659312135
16260,Guindalera,36.0,1,1.0,2,175000,1.0,0.0,0.0,0,"calle de Agustín Durán, 8, Guindalera, Madrid",8.809332260659694,13.913595933926302,5.088289962825279,1.7764438676184295
16261,Goya,43.0,2,2.0,5,325000,1.0,0.0,0.0,0,"calle del General Pardiñas, Goya, Madrid",16.049879324215606,25.34942820838628,9.270446096654275,3.236534717715769
16262,Recoletos,222.0,4,4.0,2,2550000,1.0,1.0,0.0,1,"calle de Lagasca, Recoletos, Madrid",123.45132743362832,194.98094027954258,71.30576208178438,24.894548994159635
16263,Recoletos,365.0,5,5.0,2,3276000,1.0,1.0,0.0,0,"calle Serrano, Recoletos, Madrid",158.49557522123894,250.33036848792884,91.54739776951673,31.96138870863076
16264,Recoletos,365.0,5,5.0,3,3276000,1.0,1.0,0.0,0,"calle Serrano, Recoletos, Madrid",158.49557522123894,250.33036848792884,91.54739776951673,31.96138870863076
16265,Guindalera,174.0,4,2.0,1,611585,1.0,1.0,1.0,0,"calle BRISTOL, Guindalera, Madrid",29.883427192276752,47.19834815756036,17.260734200743496,6.0261356262167425
16266,Goya,469.0,6,4.0,6,3200000,1.0,1.0,0.0,1,"Principe De Vergara, Madrid, Goya, Madrid",154.82703137570394,244.53621346886914,89.42843866171003,31.22160934458144
16267,Recoletos,644.0,5,3.0,2,4900000,1.0,1.0,0.0,0,"calle de Claudio Coello, Madrid, Recoletos, Madrid",236.88656476267096,374.1423125794155,136.82620817843866,47.76930564568462
16268,Barrio de Salamanca,271.0,4,4.0,4,1500000,1.0,1.0,1.0,1,"Castellana, Barrio de Salamanca, Madrid",72.76749798873692,114.93011435832274,42.03066914498141,14.673913043478262
16269,Goya,43.0,2,2.0,5,325000,1.0,0.0,0.0,0,"GENERAL PARDIÑAS, Goya, Madrid",16.049879324215606,25.34942820838628,9.270446096654275,3.236534717715769
16270,Barrio de Salamanca,222.0,4,3.0,9,775000,1.0,1.0,1.0,1,"Urb. Salamanca, Fuente del Berro, Barrio de Salamanca, Madrid",37.77152051488335,59.6569250317662,21.816914498141266,7.616807268007787
16271,Barrio de Salamanca,207.0,4,3.0,3,1420000,1.0,1.0,0.0,1,"Castellana, Barrio de Salamanca, Madrid",68.90587288817377,108.83100381194409,39.80018587360595,13.895197923426347
16272,Fuente del Berro,72.0,3,2.0,3,435000,1.0,1.0,0.0,0,"calle Alejnadro Gonzalez, Fuente del Berro, Madrid",21.359613837489945,33.73570520965693,12.33736059479554,4.307268007787151
16273,Guindalera,149.0,3,2.0,2,725000,1.0,1.0,0.0,0,"calle de Martínez Izquierdo, Guindalera, Madrid",35.35800482703137,55.84498094027954,20.4228624535316,7.1301103179753405
16274,Lista,49.0,2,1.0,4,299000,1.0,0.0,0.0,0,"JOSE ORTEGA Y GASSET, Lista, Madrid",14.794851166532583,23.367217280813215,8.54553903345725,2.983452303698897
16275,Fuente del Berro,123.0,4,2.0,1,370000,1.0,1.0,0.0,0,"calle de Jorge Juan, 124, Fuente del Berro, Madrid",18.22204344328238,28.780177890724268,10.525092936802974,3.674561972744971
16276,Goya,61.0,2,1.0,4,330000,1.0,0.0,0.0,0,"calle de Hermosilla, Goya, Madrid",16.291230893000805,25.730622617534944,9.409851301115241,3.2852044127190134
16277,Fuente del Berro,60.0,2,1.0,4,250000,0.0,0.0,0.0,0,"Porvenir, 16, Fuente del Berro, Madrid",12.42960579243765,19.63151207115629,7.179368029739777,2.506489292667099
16278,Goya,115.0,3,2.0,3,795000,1.0,1.0,0.0,0,"GENERAL PARDIÑAS, Goya, Madrid",38.736926790024135,61.18170266836086,22.37453531598513,7.8114860480207655
16279,Goya,108.0,3,2.0,1,450000,1.0,0.0,1.0,0,"calle de Alcalá, Goya, Madrid",22.083668543845533,34.87928843710292,12.75557620817844,4.453277092796885
16280,Goya,140.0,4,3.0,1,750000,1.0,1.0,0.0,0,"calle de Ayala, Goya, Madrid",36.564762670957364,57.750952986022874,21.119888475836433,7.373458792991564
16281,Goya,171.0,4,3.0,2,875000,1.0,1.0,1.0,0,"calle de Lope de Rueda, Goya, Madrid",42.59855189058729,67.28081321473952,24.605018587360593,8.59020116807268
16282,Castellana,240.0,5,4.0,2,2600000,1.0,1.0,0.0,1,"calle de Juan Bravo, Castellana, Madrid",125.86484312148029,198.79288437102923,72.69981412639405,25.381245944192084
16283,Barrio de Salamanca,47.0,2,1.0,3,298000,1.0,0.0,0.0,0,"Lista, Barrio de Salamanca, Madrid",14.746580852775542,23.29097839898348,8.517657992565056,2.973718364698248
16284,Guindalera,100.0,3,1.0,0,280000,1.0,1.0,0.0,0,"avenida de Bonn, Guindalera, Madrid",13.877715205148833,21.918678526048286,8.015799256505575,2.798507462686567
16285,Goya,128.0,1,1.0,4,920000,1.0,1.0,1.0,1,"calle Alcalá, 141, Goya, Madrid",44.770716009654066,70.71156289707751,25.859665427509295,9.028228423101883
16286,Goya,58.0,1,1.0,3,710000,1.0,1.0,0.0,1,"calle Alcalá, 141, Goya, Madrid",34.633950120675784,54.70139771283355,20.0046468401487,6.984101232965607
